analysis_code,analysis_label,source_file,source_line
0,HIV pseudonyms,Analysis codes.do,1
1,Tuberculosis,Analysis codes.do,2
2,HIV/AIDS,Analysis codes.do,3
3,STDs excluding HIV,Analysis codes.do,4
4,Diarrhoeal disease,Analysis codes.do,5
5,Vaccine preventable childhood,Analysis codes.do,6
6,Malaria,Analysis codes.do,7
7,"Intestinal parasites, other parasitic and vector diseases",Analysis codes.do,8
8,Meningitis,Analysis codes.do,9
9,Hepatitis,Analysis codes.do,10
10,Other infectious diseases,Analysis codes.do,11
11,Lower respiratory infections,Analysis codes.do,12
12,Upper respiratory infections,Analysis codes.do,13
13,Otitis media,Analysis codes.do,14
14,Maternal haemorrhage,Analysis codes.do,15
15,Maternal sepsis,Analysis codes.do,16
16,Hypertension in pregnancy,Analysis codes.do,17
17,Obstructed labour,Analysis codes.do,18
18,Abortion,Analysis codes.do,19
19,Other maternal,Analysis codes.do,20
20,Preterm birth complications,Analysis codes.do,21
21,Birth asphyxia,Analysis codes.do,22
22,Sepsis and other infectious conditions of the newborn,Analysis codes.do,23
23,Other perinatal conditions,Analysis codes.do,24
24,Protein-energy malnutrition,Analysis codes.do,25
25,Vitamin A deficiency,Analysis codes.do,26
26,Iron deficiency anaemia,Analysis codes.do,27
27,Other nutritional disorders,Analysis codes.do,28
28,Mouth and oropharynx,Analysis codes.do,29
29,Nasopharynx cancer and other pharynx cancer,Analysis codes.do,30
30,Oesophagus,Analysis codes.do,31
31,Stomach,Analysis codes.do,32
32,Colo-rectal,Analysis codes.do,33
33,Liver,Analysis codes.do,34
34,Gallbladder and biliary tract,Analysis codes.do,35
35,Pancreas,Analysis codes.do,36
36,Larynx,Analysis codes.do,37
37,Trachea/bronchi/lung,Analysis codes.do,38
38,Melanoma,Analysis codes.do,39
39,Other skin cancer,Analysis codes.do,40
40,Breast,Analysis codes.do,41
41,Cervix,Analysis codes.do,42
42,Corpus uteri,Analysis codes.do,43
43,Ovary,Analysis codes.do,44
44,Prostate,Analysis codes.do,45
45,Testis cancer,Analysis codes.do,46
46,Bladder,Analysis codes.do,47
47,Kidney,Analysis codes.do,48
48,Brain,Analysis codes.do,49
49,Thyroid,Analysis codes.do,50
50,Hodgkin's lymphoma,Analysis codes.do,51
51,Non-Hodgkins lymphoma,Analysis codes.do,52
52,Multiple myeloma,Analysis codes.do,53
53,Leukaemia,Analysis codes.do,54
54,Other malignant neoplasms,Analysis codes.do,55
55,Other neoplasms,Analysis codes.do,56
56,Diabetes mellitus,Analysis codes.do,57
57,"Endocrine nutritional,blood and immune disorders",Analysis codes.do,58
58,Unipolar,Analysis codes.do,59
59,Bipolar,Analysis codes.do,60
60,Schizophrenia,Analysis codes.do,61
61,Alcohol dependence,Analysis codes.do,62
62,Drug use,Analysis codes.do,63
63,Anxiety disorders,Analysis codes.do,64
64,Eating disorders,Analysis codes.do,65
65,Development disorders,Analysis codes.do,66
66,Childhood behaviour disorders,Analysis codes.do,67
67,Mental retardation not included as sequelae elsewhere,Analysis codes.do,68
68,Other mental and behavioural disorders,Analysis codes.do,69
69,Alzheimer and other degenerative diseases of nervous system,Analysis codes.do,70
70,Parkisons disease,Analysis codes.do,71
71,Multiple sclerosis,Analysis codes.do,72
72,Epilepsy,Analysis codes.do,73
73,Migraine,Analysis codes.do,74
74,Non-migraine headache,Analysis codes.do,75
75,Other neurological conditions,Analysis codes.do,76
76,Glaucoma,Analysis codes.do,77
77,Cataracts,Analysis codes.do,78
78,Hearing loss not due to other diseases or injuries,Analysis codes.do,79
79,Other vision loss,Analysis codes.do,80
80,Other sense organ disorders,Analysis codes.do,81
81,Rheumatic heart disease,Analysis codes.do,82
82,Hypertensive heart disease,Analysis codes.do,83
