analysis_code,za_code,weight,hierarchy,analysis_label,za_label,source_file,source_line
1,1,1,detailed,Tuberculosis,Tuberculosis,Analysis to ZA codes.do,1
2,2,1,detailed,HIV/AIDS,HIV/AIDS,Analysis to ZA codes.do,2
3,3,1,detailed,STDs excluding HIV,STIs excluding HIV,Analysis to ZA codes.do,3
4,4,1,detailed,Diarrhoeal disease,Diarrhoeal diseases,Analysis to ZA codes.do,4
5,5,1,detailed,Vaccine preventable childhood,Vaccine preventable childhood,Analysis to ZA codes.do,5
8,6,1,detailed,Meningitis,Meningitis/encephalitis,Analysis to ZA codes.do,6
9,7,1,detailed,Hepatitis,Hepatitis,Analysis to ZA codes.do,7
161,8,1,detailed,Septicaemia,Septicaemia,Analysis to ZA codes.do,8
6,9,1,detailed,Malaria,Malaria,Analysis to ZA codes.do,9
7,10,1,detailed,"Intestinal parasites, other parasitic and vector diseases",Intestinal parasites and vector,Analysis to ZA codes.do,10
10,11,1,detailed,Other infectious diseases,Other infectious diseases,Analysis to ZA codes.do,11
11,12,1,detailed,Lower respiratory infections,Lower respiratory infections,Analysis to ZA codes.do,12
12,13,1,detailed,Upper respiratory infections,Upper respiratory infections,Analysis to ZA codes.do,13
13,14,1,detailed,Otitis media,Otitis media,Analysis to ZA codes.do,14
14,15,1,detailed,Maternal haemorrhage,Maternal haemorrhage,Analysis to ZA codes.do,15
15,16,1,detailed,Maternal sepsis,Maternal sepsis,Analysis to ZA codes.do,16
16,17,1,detailed,Hypertension in pregnancy,Hypertension in pregnancy,Analysis to ZA codes.do,17
17,18,1,detailed,Obstructed labour,Obstructed labour,Analysis to ZA codes.do,18
18,19,1,detailed,Abortion,Abortion,Analysis to ZA codes.do,19
213,20,1,detailed,Indirect maternal,Indirect maternal,Analysis to ZA codes.do,20
19,21,1,detailed,Other maternal,Other maternal,Analysis to ZA codes.do,21
20,22,1,detailed,Preterm birth complications,Preterm birth complications,Analysis to ZA codes.do,22
21,23,1,detailed,Birth asphyxia,Birth asphyxia,Analysis to ZA codes.do,23
22,24,1,detailed,Sepsis and other infectious conditions of the newborn,Sepsis/other newborn infectious,Analysis to ZA codes.do,24
23,25,1,detailed,Other perinatal conditions,Other perinatal conditions,Analysis to ZA codes.do,25
24,26,1,detailed,Protein-energy malnutrition,Protein-energy malnutrition,Analysis to ZA codes.do,26
25,27,1,detailed,Vitamin A deficiency,Vitamin A deficiency,Analysis to ZA codes.do,27
26,28,1,detailed,Iron deficiency anaemia,Iron deficiency anaemia,Analysis to ZA codes.do,28
27,29,1,detailed,Other nutritional disorders,Other nutritional disorders,Analysis to ZA codes.do,29
28,30,1,detailed,Mouth and oropharynx,Mouth,Analysis to ZA codes.do,30
29,31,1,detailed,Nasopharynx cancer and other pharynx cancer,Naso-oropharynx,Analysis to ZA codes.do,31
30,32,1,detailed,Oesophagus,Oesophagus,Analysis to ZA codes.do,32
31,33,1,detailed,Stomach,Stomach,Analysis to ZA codes.do,33
32,34,1,detailed,Colo-rectal,Colo-rectal,Analysis to ZA codes.do,34
33,35,1,detailed,Liver,Liver,Analysis to ZA codes.do,35
34,36,1,detailed,Gallbladder and biliary tract,Gallbladder and biliary tract,Analysis to ZA codes.do,36
35,37,1,detailed,Pancreas,Pancreas,Analysis to ZA codes.do,37
36,38,1,detailed,Larynx,Larynx,Analysis to ZA codes.do,38
37,39,1,detailed,Trachea/bronchi/lung,Trachea/bronchi/lung,Analysis to ZA codes.do,39
38,40,1,detailed,Melanoma,Melanoma,Analysis to ZA codes.do,40
39,41,1,detailed,Other skin cancer,Other skin cancer,Analysis to ZA codes.do,41
40,42,1,detailed,Breast,Breast,Analysis to ZA codes.do,42
41,43,1,detailed,Cervix,Cervix,Analysis to ZA codes.do,43
42,44,1,detailed,Corpus uteri,Corpus uteri,Analysis to ZA codes.do,44
43,45,1,detailed,Ovary,Ovary,Analysis to ZA codes.do,45
44,46,1,detailed,Prostate,Prostate,Analysis to ZA codes.do,46
45,47,1,detailed,Testis cancer,Testis cancer,Analysis to ZA codes.do,47
46,48,1,detailed,Bladder,Bladder,Analysis to ZA codes.do,48
47,49,1,detailed,Kidney,Kidney,Analysis to ZA codes.do,49
48,50,1,detailed,Brain,Brain,Analysis to ZA codes.do,50
49,51,1,detailed,Thyroid,Thyroid,Analysis to ZA codes.do,51
50,52,1,detailed,Hodgkin's lymphoma,Hodgkin's lymphoma,Analysis to ZA codes.do,52
51,53,1,detailed,Non-Hodgkins lymphoma,Non-Hodgkins lymphoma,Analysis to ZA codes.do,53
52,54,1,detailed,Multiple myeloma,Multiple myeloma,Analysis to ZA codes.do,54
53,55,1,detailed,Leukaemia,Leukaemia,Analysis to ZA codes.do,55
54,56,1,detailed,Other malignant neoplasms,Other malignant neoplasms,Analysis to ZA codes.do,56
55,57,1,detailed,Other neoplasms,Other neoplasms,Analysis to ZA codes.do,57
56,58,1,detailed,Diabetes mellitus,Diabetes mellitus,Analysis to ZA codes.do,58
57,59,1,detailed,"Endocrine nutritional,blood and immune disorders","Endocrine nutritional,blood, immune",Analysis to ZA codes.do,59
58,60,1,detailed,Unipolar,Unipolar depression,Analysis to ZA codes.do,60
59,61,1,detailed,Bipolar,Bipolar affective,Analysis to ZA codes.do,61
60,62,1,detailed,Schizophrenia,Schizophrenia,Analysis to ZA codes.do,62
61,63,1,detailed,Alcohol dependence,Alcohol dependence,Analysis to ZA codes.do,63
62,64,1,detailed,Drug use,Drug use,Analysis to ZA codes.do,64
63,65,1,detailed,Anxiety disorders,Anxiety disorders,Analysis to ZA codes.do,65
64,66,1,detailed,Eating disorders,Eating disorders,Analysis to ZA codes.do,66
65,67,1,detailed,Development disorders,Development disorders,Analysis to ZA codes.do,67
66,68,1,detailed,Childhood behaviour disorders,Childhood behaviour disorders,Analysis to ZA codes.do,68
67,69,1,detailed,Mental retardation not included as sequelae elsewhere,Mental retardation not included as sequelae elsewhere,Analysis to ZA codes.do,69
68,70,1,detailed,Other mental and behavioural disorders,Other mental and behavioural disorders,Analysis to ZA codes.do,70
69,71,1,detailed,Alzheimer and other degenerative diseases of nervous system,Alzheimer's,Analysis to ZA codes.do,71
70,72,1,detailed,Parkisons disease,Parkinsons disease,Analysis to ZA codes.do,72
