icd10,nbdcode,nbd_label,rule_type,source_file,source_line
000,143,Ill defined natural,static,NBD215grProgram.do,191
888,143,Ill defined natural,static,NBD215grProgram.do,191
999,143,Ill defined natural,static,NBD215grProgram.do,191
A00,4,Diarrhoeal disease,static,NBD215grProgram.do,8
A01,4,Diarrhoeal disease,static,NBD215grProgram.do,8
A02,4,Diarrhoeal disease,static,NBD215grProgram.do,8
A03,4,Diarrhoeal disease,static,NBD215grProgram.do,8
A04,4,Diarrhoeal disease,static,NBD215grProgram.do,8
A05,4,Diarrhoeal disease,static,NBD215grProgram.do,8
A06,4,Diarrhoeal disease,static,NBD215grProgram.do,8
A07,4,Diarrhoeal disease,static,NBD215grProgram.do,8
A08,4,Diarrhoeal disease,static,NBD215grProgram.do,8
A09,4,Diarrhoeal disease,static,NBD215grProgram.do,8
A15,1,Tuberculosis,static,NBD215grProgram.do,2
A16,1,Tuberculosis,static,NBD215grProgram.do,2
A17,210,Extrapulmonary TB,static,NBD215grProgram.do,258
A18,210,Extrapulmonary TB,static,NBD215grProgram.do,258
A19,211,Miliary TB,static,NBD215grProgram.do,259
A20,10,Other infectious diseases,static,NBD215grProgram.do,25
A21,10,Other infectious diseases,static,NBD215grProgram.do,25
A22,10,Other infectious diseases,static,NBD215grProgram.do,25
A23,10,Other infectious diseases,static,NBD215grProgram.do,25
A24,10,Other infectious diseases,static,NBD215grProgram.do,25
A25,10,Other infectious diseases,static,NBD215grProgram.do,25
A26,10,Other infectious diseases,static,NBD215grProgram.do,25
A27,10,Other infectious diseases,static,NBD215grProgram.do,25
A28,10,Other infectious diseases,static,NBD215grProgram.do,25
A30,10,Other infectious diseases,static,NBD215grProgram.do,25
A31,10,Other infectious diseases,static,NBD215grProgram.do,25
A32,10,Other infectious diseases,static,NBD215grProgram.do,25
A33,5,Vaccine preventable childhood,static,NBD215grProgram.do,11
A36,5,Vaccine preventable childhood,static,NBD215grProgram.do,10
A37,5,Vaccine preventable childhood,static,NBD215grProgram.do,10
A38,10,Other infectious diseases,static,NBD215grProgram.do,29
A39,8,Meningitis,static,NBD215grProgram.do,19
A40,161,Septicaemia,static,NBD215grProgram.do,211
A41,161,Septicaemia,static,NBD215grProgram.do,211
A42,10,Other infectious diseases,static,NBD215grProgram.do,25
A43,10,Other infectious diseases,static,NBD215grProgram.do,25
A44,10,Other infectious diseases,static,NBD215grProgram.do,25
A45,10,Other infectious diseases,static,NBD215grProgram.do,25
A46,10,Other infectious diseases,static,NBD215grProgram.do,25
A47,10,Other infectious diseases,static,NBD215grProgram.do,25
A48,10,Other infectious diseases,static,NBD215grProgram.do,25
A49,10,Other infectious diseases,static,NBD215grProgram.do,25
A50,3,STDs excluding HIV,static,NBD215grProgram.do,6
A51,3,STDs excluding HIV,static,NBD215grProgram.do,6
A52,3,STDs excluding HIV,static,NBD215grProgram.do,6
A53,3,STDs excluding HIV,static,NBD215grProgram.do,6
A54,3,STDs excluding HIV,static,NBD215grProgram.do,6
A55,3,STDs excluding HIV,static,NBD215grProgram.do,6
A56,3,STDs excluding HIV,static,NBD215grProgram.do,6
A57,3,STDs excluding HIV,static,NBD215grProgram.do,6
A58,3,STDs excluding HIV,static,NBD215grProgram.do,6
A59,3,STDs excluding HIV,static,NBD215grProgram.do,6
A60,3,STDs excluding HIV,static,NBD215grProgram.do,6
A61,3,STDs excluding HIV,static,NBD215grProgram.do,6
A62,3,STDs excluding HIV,static,NBD215grProgram.do,6
A63,3,STDs excluding HIV,static,NBD215grProgram.do,6
A64,152,Unspecified sexually transmitted disease,static,NBD215grProgram.do,202
A65,10,Other infectious diseases,static,NBD215grProgram.do,25
A66,10,Other infectious diseases,static,NBD215grProgram.do,25
A67,10,Other infectious diseases,static,NBD215grProgram.do,25
A68,10,Other infectious diseases,static,NBD215grProgram.do,25
A69,10,Other infectious diseases,static,NBD215grProgram.do,25
