metric,value
nbd_mapping_statements,241
age_sensitive_source_lines,12;13;33;34;35;36;52;55;199;242
dynamic_icd_categories_implemented_in_r,A34;A35;G80;P23
icd_source_design_semantic_cases,2947
static_icd3_categories,1847
analysis_labels,216
za_definitions,176
za_mapping_rows,700
detailed_za_targets,139
analysis_codes_used_in_detailed_za,140
analysis_codes_omitted_from_detailed_za,0;126;133;134;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;214;215
labelled_but_undefined_za_codes,141;300
analysis_214_mapping_status,omitted_by_Analysis_to_ZA_codes.do
