za_code,za_label,source_file,source_line,generated_by_source
1,Tuberculosis,Analysis to ZA codes.do,206,True
2,HIV/AIDS,Analysis to ZA codes.do,207,True
3,STIs excluding HIV,Analysis to ZA codes.do,208,True
4,Diarrhoeal diseases,Analysis to ZA codes.do,209,True
5,Vaccine preventable childhood,Analysis to ZA codes.do,210,True
6,Meningitis/encephalitis,Analysis to ZA codes.do,211,True
7,Hepatitis,Analysis to ZA codes.do,212,True
8,Septicaemia,Analysis to ZA codes.do,213,True
9,Malaria,Analysis to ZA codes.do,214,True
10,Intestinal parasites and vector,Analysis to ZA codes.do,215,True
11,Other infectious diseases,Analysis to ZA codes.do,216,True
12,Lower respiratory infections,Analysis to ZA codes.do,217,True
13,Upper respiratory infections,Analysis to ZA codes.do,218,True
14,Otitis media,Analysis to ZA codes.do,219,True
15,Maternal haemorrhage,Analysis to ZA codes.do,220,True
16,Maternal sepsis,Analysis to ZA codes.do,221,True
17,Hypertension in pregnancy,Analysis to ZA codes.do,222,True
18,Obstructed labour,Analysis to ZA codes.do,223,True
19,Abortion,Analysis to ZA codes.do,224,True
20,Indirect maternal,Analysis to ZA codes.do,225,True
21,Other maternal,Analysis to ZA codes.do,226,True
22,Preterm birth complications,Analysis to ZA codes.do,227,True
23,Birth asphyxia,Analysis to ZA codes.do,228,True
24,Sepsis/other newborn infectious,Analysis to ZA codes.do,229,True
25,Other perinatal conditions,Analysis to ZA codes.do,230,True
26,Protein-energy malnutrition,Analysis to ZA codes.do,231,True
27,Vitamin A deficiency,Analysis to ZA codes.do,232,True
28,Iron deficiency anaemia,Analysis to ZA codes.do,233,True
29,Other nutritional disorders,Analysis to ZA codes.do,234,True
30,Mouth,Analysis to ZA codes.do,235,True
31,Naso-oropharynx,Analysis to ZA codes.do,236,True
32,Oesophagus,Analysis to ZA codes.do,237,True
33,Stomach,Analysis to ZA codes.do,238,True
34,Colo-rectal,Analysis to ZA codes.do,239,True
35,Liver,Analysis to ZA codes.do,240,True
36,Gallbladder and biliary tract,Analysis to ZA codes.do,241,True
37,Pancreas,Analysis to ZA codes.do,242,True
38,Larynx,Analysis to ZA codes.do,243,True
39,Trachea/bronchi/lung,Analysis to ZA codes.do,244,True
40,Melanoma,Analysis to ZA codes.do,245,True
41,Other skin cancer,Analysis to ZA codes.do,246,True
42,Breast,Analysis to ZA codes.do,247,True
43,Cervix,Analysis to ZA codes.do,248,True
44,Corpus uteri,Analysis to ZA codes.do,249,True
45,Ovary,Analysis to ZA codes.do,250,True
46,Prostate,Analysis to ZA codes.do,251,True
47,Testis cancer,Analysis to ZA codes.do,252,True
48,Bladder,Analysis to ZA codes.do,253,True
49,Kidney,Analysis to ZA codes.do,254,True
50,Brain,Analysis to ZA codes.do,255,True
51,Thyroid,Analysis to ZA codes.do,256,True
52,Hodgkin's lymphoma,Analysis to ZA codes.do,257,True
53,Non-Hodgkins lymphoma,Analysis to ZA codes.do,258,True
54,Multiple myeloma,Analysis to ZA codes.do,259,True
55,Leukaemia,Analysis to ZA codes.do,260,True
56,Other malignant neoplasms,Analysis to ZA codes.do,261,True
57,Other neoplasms,Analysis to ZA codes.do,262,True
58,Diabetes mellitus,Analysis to ZA codes.do,263,True
59,"Endocrine nutritional,blood, immune",Analysis to ZA codes.do,264,True
60,Unipolar depression,Analysis to ZA codes.do,265,True
61,Bipolar affective,Analysis to ZA codes.do,266,True
62,Schizophrenia,Analysis to ZA codes.do,267,True
63,Alcohol dependence,Analysis to ZA codes.do,268,True
64,Drug use,Analysis to ZA codes.do,269,True
65,Anxiety disorders,Analysis to ZA codes.do,270,True
66,Eating disorders,Analysis to ZA codes.do,271,True
67,Development disorders,Analysis to ZA codes.do,272,True
68,Childhood behaviour disorders,Analysis to ZA codes.do,273,True
69,Mental retardation not included as sequelae elsewhere,Analysis to ZA codes.do,274,True
70,Other mental and behavioural disorders,Analysis to ZA codes.do,275,True
71,Alzheimer's,Analysis to ZA codes.do,277,True
72,Parkinsons disease,Analysis to ZA codes.do,278,True
73,Multiple sclerosis,Analysis to ZA codes.do,279,True
74,Epilepsy,Analysis to ZA codes.do,280,True
75,Migraine,Analysis to ZA codes.do,281,True
76,Non-migraine headache,Analysis to ZA codes.do,282,True
77,Other neurological conditions,Analysis to ZA codes.do,283,True
78,Glaucoma,Analysis to ZA codes.do,284,True
79,Cataracts,Analysis to ZA codes.do,285,True
80,"Hearing loss, adult onset",Analysis to ZA codes.do,286,True
81,Other vision loss,Analysis to ZA codes.do,287,True
82,Other sense organ disorders,Analysis to ZA codes.do,288,True
83,Rheumatic heart disease,Analysis to ZA codes.do,289,True
84,Hypertensive heart disease,Analysis to ZA codes.do,290,True
