function,module,line
find_project_root,00_core.R,22
read_project_config,00_core.R,43
config_file,00_core.R,80
raw_file,00_core.R,101
lookup_file,00_core.R,105
derived_file,00_core.R,109
figure_file,00_core.R,113
table_file,00_core.R,117
database_file,00_core.R,121
require_package,00_core.R,135
read_tabular,00_core.R,145
write_tabular,00_core.R,185
write_stage_data,00_core.R,247
read_stage_data,00_core.R,263
write_csv_table,00_core.R,267
select_stage_file,00_core.R,271
assert_has_columns,00_core.R,290
assert_unique_key,00_core.R,302
assert_nonnegative,00_core.R,321
assert_no_missing,00_core.R,335
assert_total_preserved,00_core.R,352
warn_or_stop,00_core.R,368
cross_join_dt,00_core.R,681
normalise_token,00_core.R,740
rename_first_match,00_core.R,745
cod_name_aliases,00_core.R,771
cod_required_names,00_core.R,794
cod_source_column_candidates,00_core.R,801
standardise_cod_names,00_core.R,806
age5_from_completed_years,00_core.R,860
age5_from_famhis,00_core.R,878
complete_cells,00_core.R,891
safe_ratio,00_core.R,913
cod_aggregation_backend,00_core.R,932
format_count,00_core.R,947
format_elapsed,00_core.R,951
run_timed_step,00_core.R,962
cod_progress,00_core.R,981
fast_group_sum,00_core.R,998
source_project_functions,00_core.R,1099
read_population_block,01_population_cod.R,19
build_population_from_workbook,01_population_cod.R,47
standardise_population,01_population_cod.R,103
prepare_population,01_population_cod.R,127
normalise_icd_category,01_population_cod.R,202
read_icd_to_nbd_lookup,01_population_cod.R,211
map_icd_to_nbd,01_population_cod.R,282
read_analysis_to_za_lookup,01_population_cod.R,371
apply_analysis_to_za,01_population_cod.R,483
read_cause_labels,01_population_cod.R,611
read_cod_microdata,01_population_cod.R,704
icd_between,01_population_cod.R,730
make_source_date,01_population_cod.R,734
recode_perinatal_codes,01_population_cod.R,746
apply_icd10_verification,01_population_cod.R,778
cod_drop_zero_cells,01_population_cod.R,1009
cod_working_table,01_population_cod.R,1013
check_unmapped_live_births,01_population_cod.R,1027
collapse_verified_cod,01_population_cod.R,1051
prepare_cod_analysis_groups,01_population_cod.R,1078
cod_2004_ill_defined_correction,01_population_cod.R,1125
aggregate_cod_annual_groups,01_population_cod.R,1185
