age_id,age_label,database_age_codes,legacy_compare_names,legacy_rate_names,include_comparison,include_explorer,metric_type,sort_order,notes
age_0,<1 month,0,,,FALSE,TRUE,standard,1,
age_1,1-11 months,1,,,FALSE,TRUE,standard,2,
age_under1,<1 year,0;1,<1 year,,TRUE,TRUE,standard,3,Combined neonatal and post-neonatal deaths; population comes from age code 1 because neonatal population is structural zero.
age_1_4,1-4 years,2,1-4 years,,TRUE,TRUE,standard,4,
age_under5,Under 5 years,20,<5 years,0-4,TRUE,TRUE,standard,5,
age_5_9,5-9 years,3,5-9 years,5-9,TRUE,TRUE,standard,10,
age_10_14,10-14 years,4,,10-14,FALSE,TRUE,standard,11,
age_15_19,15-19 years,5,,15-19,FALSE,TRUE,standard,12,
age_20_24,20-24 years,6,,20-24,FALSE,TRUE,standard,13,
age_25_29,25-29 years,7,,25-29,FALSE,TRUE,standard,14,
age_30_34,30-34 years,8,,30-34,FALSE,TRUE,standard,15,
age_35_39,35-39 years,9,,35-39,FALSE,TRUE,standard,16,
age_40_44,40-44 years,10,,40-44,FALSE,TRUE,standard,17,
age_45_49,45-49 years,11,,45-49,FALSE,TRUE,standard,18,
age_50_54,50-54 years,12,,50-54,FALSE,TRUE,standard,19,
age_55_59,55-59 years,13,,55-59,FALSE,TRUE,standard,20,
age_60_64,60-64 years,14,,60-64,FALSE,TRUE,standard,21,
age_65_69,65-69 years,15,,65-69,FALSE,TRUE,standard,22,
age_70_74,70-74 years,16,,70-74,FALSE,TRUE,standard,23,
age_75_79,75-79 years,17,,75-79,FALSE,TRUE,standard,24,
age_80_84,80-84 years,18,,80-84,FALSE,TRUE,standard,25,
age_85_plus,85+ years,19,,85+,FALSE,TRUE,standard,26,
age_10_19,10-19 years,4;5,10-19 years,,TRUE,TRUE,standard,30,
age_20_54,20-54 years,6;7;8;9;10;11;12,20-54 years,,TRUE,TRUE,standard,31,
age_55_plus,55+ years,13;14;15;16;17;18;19,55+ years,,TRUE,TRUE,standard,32,
age_5_14,5-14 years,21,,,FALSE,TRUE,standard,33,
age_15_44,15-44 years,22,,15-44,FALSE,TRUE,standard,34,
age_45_59,45-59 years,23,,45-59,FALSE,TRUE,standard,35,
age_60_plus,60+ years,24,,60-85+,FALSE,TRUE,standard,36,
age_15_plus,15+ years,26,,,FALSE,TRUE,standard,37,
age_0_14,0-14 years,0;1;2;3;4,,0-14,FALSE,TRUE,standard,38,
age_15_59,15-59 years,5;6;7;8;9;10;11;12;13,,15-59,FALSE,TRUE,standard,39,
age_all,All ages,25,All ages,Total,TRUE,TRUE,standard,40,
asr_all,ASR All ages,25,,ASR All ages,FALSE,TRUE,asr,50,Uses the final database ASR for single-code causes.
asr_children,ASR Children,,,ASR Children,FALSE,FALSE,legacy_only,51,Legacy-only series; no child-specific standardised rate is stored in the final database.
asr_15_plus,ASR 15+,,,ASR 15+,FALSE,FALSE,legacy_only,52,Legacy-only series; no 15+ standardised rate is stored in the final database.
