series_id,display_name,domain,hierarchy,cause_type,za_codes,denominator_za_codes,measure,unit,legacy_compare_names,legacy_rate_names,include_explorer,include_comparison,sort_order,notes
za_1,Tuberculosis,natural,detailed,natural,1,,,,,Tuberculosis,TRUE,FALSE,1,Direct ZA cause from the final NBD3 database.
za_2,HIV/AIDS,natural,detailed,natural,2,,,,,HIV/AIDS,TRUE,FALSE,2,Direct ZA cause from the final NBD3 database.
za_3,STIs excluding HIV,natural,detailed,natural,3,,,,,,TRUE,FALSE,3,Direct ZA cause from the final NBD3 database.
za_4,Diarrhoeal diseases,natural,detailed,natural,4,,,,,Diarrhoeal,TRUE,FALSE,4,Direct ZA cause from the final NBD3 database.
za_5,Vaccine preventable childhood,natural,detailed,natural,5,,,,,,TRUE,FALSE,5,Direct ZA cause from the final NBD3 database.
za_6,Meningitis/encephalitis,natural,detailed,natural,6,,,,,,TRUE,FALSE,6,Direct ZA cause from the final NBD3 database.
za_7,Hepatitis,natural,detailed,natural,7,,,,,,TRUE,FALSE,7,Direct ZA cause from the final NBD3 database.
za_8,Septicaemia,natural,detailed,natural,8,,,,,,TRUE,FALSE,8,Direct ZA cause from the final NBD3 database.
za_9,Malaria,natural,detailed,natural,9,,,,,,TRUE,FALSE,9,Direct ZA cause from the final NBD3 database.
za_10,Intestinal parasites and vector,natural,detailed,natural,10,,,,,,TRUE,FALSE,10,Direct ZA cause from the final NBD3 database.
za_11,Other infectious diseases,natural,detailed,natural,11,,,,,,TRUE,FALSE,11,Direct ZA cause from the final NBD3 database.
za_12,Lower respiratory infections,natural,detailed,natural,12,,,,,Pneumonia,TRUE,FALSE,12,Direct ZA cause from the final NBD3 database.
za_13,Upper respiratory infections,natural,detailed,natural,13,,,,,,TRUE,FALSE,13,Direct ZA cause from the final NBD3 database.
za_14,Otitis media,natural,detailed,natural,14,,,,,,TRUE,FALSE,14,Direct ZA cause from the final NBD3 database.
za_15,Maternal haemorrhage,natural,detailed,natural,15,,,,,,TRUE,FALSE,15,Direct ZA cause from the final NBD3 database.
za_16,Maternal sepsis,natural,detailed,natural,16,,,,,,TRUE,FALSE,16,Direct ZA cause from the final NBD3 database.
za_17,Hypertension in pregnancy,natural,detailed,natural,17,,,,,,TRUE,FALSE,17,Direct ZA cause from the final NBD3 database.
za_18,Obstructed labour,natural,detailed,natural,18,,,,,,TRUE,FALSE,18,Direct ZA cause from the final NBD3 database.
za_19,Abortion,natural,detailed,natural,19,,,,,,TRUE,FALSE,19,Direct ZA cause from the final NBD3 database.
za_20,Indirect maternal,natural,detailed,natural,20,,,,,,TRUE,FALSE,20,Direct ZA cause from the final NBD3 database.
za_21,Other maternal,natural,detailed,natural,21,,,,,,TRUE,FALSE,21,Direct ZA cause from the final NBD3 database.
za_22,Preterm birth complications,natural,detailed,natural,22,,,,,,TRUE,FALSE,22,Direct ZA cause from the final NBD3 database.
za_23,Birth asphyxia,natural,detailed,natural,23,,,,,,TRUE,FALSE,23,Direct ZA cause from the final NBD3 database.
za_24,Sepsis/other newborn infectious,natural,detailed,natural,24,,,,,,TRUE,FALSE,24,Direct ZA cause from the final NBD3 database.
za_25,Other perinatal conditions,natural,detailed,natural,25,,,,,,TRUE,FALSE,25,Direct ZA cause from the final NBD3 database.
za_26,Protein-energy malnutrition,natural,detailed,natural,26,,,,,,TRUE,FALSE,26,Direct ZA cause from the final NBD3 database.
za_27,Vitamin A deficiency,natural,detailed,natural,27,,,,,,TRUE,FALSE,27,Direct ZA cause from the final NBD3 database.
za_28,Iron deficiency anaemia,natural,detailed,natural,28,,,,,,TRUE,FALSE,28,Direct ZA cause from the final NBD3 database.
za_29,Other nutritional disorders,natural,detailed,natural,29,,,,,,TRUE,FALSE,29,Direct ZA cause from the final NBD3 database.
za_30,Mouth,natural,detailed,natural,30,,,,,,TRUE,FALSE,30,Direct ZA cause from the final NBD3 database.
za_31,Naso-oropharynx,natural,detailed,natural,31,,,,,,TRUE,FALSE,31,Direct ZA cause from the final NBD3 database.
za_32,Oesophagus,natural,detailed,natural,32,,,,,Oesophagus,TRUE,FALSE,32,Direct ZA cause from the final NBD3 database.
za_33,Stomach,natural,detailed,natural,33,,,,,,TRUE,FALSE,33,Direct ZA cause from the final NBD3 database.
za_34,Colo-rectal,natural,detailed,natural,34,,,,,Colo-rectal,TRUE,FALSE,34,Direct ZA cause from the final NBD3 database.
za_35,Liver,natural,detailed,natural,35,,,,,,TRUE,FALSE,35,Direct ZA cause from the final NBD3 database.
za_36,Gallbladder and biliary tract,natural,detailed,natural,36,,,,,,TRUE,FALSE,36,Direct ZA cause from the final NBD3 database.
za_37,Pancreas,natural,detailed,natural,37,,,,,,TRUE,FALSE,37,Direct ZA cause from the final NBD3 database.
za_38,Larynx,natural,detailed,natural,38,,,,,,TRUE,FALSE,38,Direct ZA cause from the final NBD3 database.
za_39,Trachea/bronchi/lung,natural,detailed,natural,39,,,,,Trachea/bronchi/lung,TRUE,FALSE,39,Direct ZA cause from the final NBD3 database.
za_40,Melanoma,natural,detailed,natural,40,,,,,,TRUE,FALSE,40,Direct ZA cause from the final NBD3 database.
za_41,Other skin cancer,natural,detailed,natural,41,,,,,,TRUE,FALSE,41,Direct ZA cause from the final NBD3 database.
za_42,Breast,natural,detailed,natural,42,,,,,Breast,TRUE,FALSE,42,Direct ZA cause from the final NBD3 database.
za_43,Cervix,natural,detailed,natural,43,,,,,Cervix,TRUE,FALSE,43,Direct ZA cause from the final NBD3 database.
za_44,Corpus uteri,natural,detailed,natural,44,,,,,,TRUE,FALSE,44,Direct ZA cause from the final NBD3 database.
za_45,Ovary,natural,detailed,natural,45,,,,,,TRUE,FALSE,45,Direct ZA cause from the final NBD3 database.
za_46,Prostate,natural,detailed,natural,46,,,,,Prostate,TRUE,FALSE,46,Direct ZA cause from the final NBD3 database.
za_47,Testis cancer,natural,detailed,natural,47,,,,,,TRUE,FALSE,47,Direct ZA cause from the final NBD3 database.
za_48,Bladder,natural,detailed,natural,48,,,,,,TRUE,FALSE,48,Direct ZA cause from the final NBD3 database.
za_49,Kidney,natural,detailed,natural,49,,,,,,TRUE,FALSE,49,Direct ZA cause from the final NBD3 database.
za_50,Brain,natural,detailed,natural,50,,,,,,TRUE,FALSE,50,Direct ZA cause from the final NBD3 database.
za_51,Thyroid,natural,detailed,natural,51,,,,,,TRUE,FALSE,51,Direct ZA cause from the final NBD3 database.
za_52,Hodgkin's lymphoma,natural,detailed,natural,52,,,,,,TRUE,FALSE,52,Direct ZA cause from the final NBD3 database.
